index,style,score_pct,score5_pct,score8_pct,preview
0,Normal,0.0,0.0,0.0,IV. Experimental results
1,Normal,0.63,0.63,0.61,"In this experiment, we have evaluated 102 cowpea germplasm lines along with five checks viz., C-152, KBC-2, KBC-9, IT-38956-11 and a local variety for diversity, variability, and a"
2,Normal,0.09,0.09,0.05,The following section represents the results obtained from the present study under the following headings:
3,List Paragraph,0.06,0.06,0.02,To study the genetic variability for grain yield and its attributing quantitative traits.
4,List Paragraph,0.09,0.09,0.05,To study the genetic divergence and associationship between grain yield and its attributing quantitative traits.
5,List Paragraph,0.05,0.05,0.0,To study the seed morphometric and quality traits of cowpea genotypes.
6,Normal,0.09,0.09,0.05,4.1 To study the genetic variability for grain yield and its attributing quantitative traits.
7,List Paragraph,0.52,0.52,0.5,"The study evaluated 102 cowpea germplasm lines, along with five check varieties, during Kharif-2025 using an Augmented Randomized Block design with six blocks to determine the vari"
8,Normal,0.02,0.02,0.0,4.1.1. Analysis of variance.
9,Normal,0.09,0.09,0.05,4.1.2. Genetic variability analysis for seed yield and its attributing traits.
10,Normal,0.09,0.09,0.05,4.1.3. Principal component analysis for seed yield and its attributing traits.
13,Normal,0.03,0.03,0.0,4.1.1 Analysis of variance (ANOVA)
14,Normal,0.63,0.63,0.61,Analysis of variance (ANOVA) is a statistical technique used to determine whether significant differences exist among the means of different groups. Analysis of variance of 12 quan
15,Normal,0.6,0.6,0.58,"ANNOVA studies revealed that the genotypes were significantly different for all the traits studied. Similarly, the effects due to treatment, due to check and due to check and varie"
16,Normal,0.09,0.09,0.05,4.1.2. Genetic variability analysis for seed yield and its attributing traits.
17,Normal,0.6,0.6,0.58,"Genetic variability is the foundation of any crop improvement programme, as it provides the opportunity to identify and select superior genotypes with desirable agronomic traits. T"
18,Normal,0.29,0.29,0.26,"Broad-sense heritability with high genetic advance generally indicates the predominance of additive gene action, suggesting that direct selection for such traits would be effective"
19,Default,1.17,1.12,1.17,"In this regard, the present study attempted to estimate the variability components, such as mean, range for all the yield contributing traits and these are presented in Table 5 for"
20,Normal,0.06,0.06,0.02,4.1.2.1. Days to 50 per cent flowering
21,Normal,0.83,0.83,0.82,"The days to 50 per cent flowering among the 107 cowpea genotypes ranged from 38 to 62 days, with a mean of 44 days, indicating the presence of variability in flowering time among t"
22,Normal,0.69,0.69,0.67,"Similar findings were obtained by Panchta et al. (2020), Thapa et al. (2021), Owusu et al. (2022), Poornima et al. (2023), Abha et al. (2024) and Swathi et al. (2024). The moderate"
23,Normal,0.05,0.05,0.0,4.1.2.2. Days to physiological maturity
24,Normal,0.87,0.87,0.86,"The trait days to physiological maturity ranged from 80 days to 108 days, with a mean of 90 days. The trait showed lower PCV (5.21%) and GCV (5.16%) with a very narrow difference b"
25,Normal,0.37,0.37,0.34,"Therefore, selection for maturity duration can be practiced, but considerable improvement require the use of genetically diverse parents. The present findings are consistent with t"
29,Normal,0.05,0.05,0.0,4.1.2.3. Plant height (cm)
30,Normal,0.58,0.58,0.56,"The plant height ranged from 31.46 cm to 94.31 cm, with a mean of 64.5 cm and exhibited high GCV (21.08%) and PCV (21.12%) and high broad-sense heritability (99.64%) with high gene"
31,Normal,0.55,0.55,0.53,The narrow difference between GCV and PCV indicates minimal environmental influence on the expression of the trait. High heritability coupled with high GAM indicates the predominan
32,Normal,0.05,0.05,0.0,4.1.2.4. Number of branches per plant
33,Normal,0.68,0.68,0.66,"For the trait, number of branches per plant among 107 cowpea genotypes observed a range of 3 to 14 branches per plant, with a mean of 8 branches per plant. The trait exhibited high"
34,Normal,0.43,0.43,0.4,With this we can conclude that the environmental effect was less and a large proportion of heritable variation is present for number of branches per plant. These observations are i
35,Normal,0.05,0.05,0.0,4.1.2.5. Seed length (mm)
36,Normal,0.91,0.91,0.9,"The present study showed that the trait seed length ranged from 4.84 mm to 9.74 mm, with mean of 6.80 mm. Moderate GCV (10.03%) and PCV (10.97%) was recorded for this trait suggest"
37,Normal,0.51,0.51,0.48,"Thus, seed length appears to possess sufficient heritable variation for improvement, although the moderate genetic advance indicates that selection produce a moderate rather than l"
38,Normal,0.05,0.05,0.0,4.1.2.6. Seed breadth (mm)
39,Normal,0.83,0.83,0.82,"The seed breadth among the 107 cowpea genotypes ranged from 3.86 mm to 7.25 mm, with a mean of 5.04 mm. The low GCV (9.22%) and moderate PCV (10.78%) the relatively larger differen"
40,Normal,0.52,0.52,0.5,"Similar findings were obtained by Porbeni et al. (2017) , Yasin et al. (2021) Abha et al. (2024) and  Deeksha et al. (2024). Thus, seed breadth was highly heritable, the relatively"
41,Normal,0.05,0.05,0.0,4.1.2.7. Seed thickness (mm)
42,Normal,0.69,0.69,0.67,"Seed thickness ranged from 3.51 mm to 8.10 mm, with mean of 4.06 mm. The moderate GCV (10.94%) and PCV (12.16%) narrow difference between them shows moderate environmental effect. "
